,Feature,Importance
21,consumption_kwh_lag_24h,0.5529543
20,consumption_kwh_lag_1h,0.17738375
19,power_outage,0.039883297
22,rolling_mean_168h,0.029683352
24,heating_degree_day,0.029146379
10,feels_like_c,0.019502586
7,season,0.017973833
9,temperature_c,0.01656529
1,hour,0.01471446
16,price_per_kwh,0.012447365
2,day_of_week,0.01217276
23,rolling_std_24h,0.009188454
8,is_holiday,0.008915034
12,wind_speed_kmh,0.0070617306
4,year,0.006874763
18,demand_response,0.0068295016
11,humidity_pct,0.0061078947
3,month,0.0059655528
14,cloud_cover_pct,0.00521018
15,renewable_pct,0.0050743604
5,week,0.005025955
13,precipitation_mm,0.00494611
17,customer_type,0.0049061202
0,region,0.0014668816
6,is_weekend,0.0
