Model,Region,MAE,RMSE,MAPE
LSTM,Annapolis Valley,21.35433774166967,49.6189188586727,28.388544866653888
Prophet,Annapolis Valley,21.753394846936022,48.53729067916907,29.292592286023794
LSTM,Cape Breton,36.14940104897522,81.53923805899366,30.723223303061364
Prophet,Cape Breton,38.5279249817512,83.64593537279494,32.51043765079583
LSTM,Halifax,101.81049444130068,217.1664099101403,67.98218623286574
Prophet,Halifax,97.51795621716717,214.45115194767035,66.20449974849585
LSTM,Pictou County,11.325409664682171,28.100065133096386,38.41630837677062
Prophet,Pictou County,13.55445347191916,28.64594348727084,43.036092292350034
LSTM,South Shore,15.984822520307473,38.43619102268785,38.65804767422233
Prophet,South Shore,17.933521773264985,39.13682488494386,39.30177659154908
