Model,Region,MAE,RMSE,MAPE
LSTM,Annapolis Valley,19.165821995388516,46.50434802907685,31.906341984873208
LSTM,Cape Breton,36.817914824882514,94.95584250827635,25.627682063148267
LSTM,Halifax,79.3105689227906,193.41725344812244,30.03819377892138
LSTM,Pictou County,13.354580868566801,31.120554802055594,37.28104290549704
LSTM,South Shore,15.729807261230613,33.01351986896361,20.422751655664175
LSTM_Val,Annapolis Valley,19.93863818608431,45.93465771443151,68743573.8096865
LSTM,Annapolis Valley,21.35433774166967,49.6189188586727,28.388544866653888
LSTM_Val,Cape Breton,36.83617751885251,92.10365940240044,31.877270317287277
LSTM,Cape Breton,36.14940104897522,81.53923805899366,30.723223303061364
LSTM_Val,Halifax,105.89042969449186,220.28365403204066,43.19086616994545
LSTM,Halifax,101.81049444130068,217.1664099101403,67.98218623286574
LSTM_Val,Pictou County,11.455365175876258,28.278611617351284,83.83576287247524
LSTM,Pictou County,11.325409664682171,28.100065133096386,38.41630837677062
LSTM_Val,South Shore,16.095946820116357,38.76675327937768,34.53962613826385
LSTM,South Shore,15.984822520307473,38.43619102268785,38.65804767422233
