region,method,total_anomaly,region_total_rows,pct_of_region_%,pct_of_global_%
Annapolis Valley,IQR,1093,87648,1.2470335889010589,0.24940671778021176
Annapolis Valley,Isolation Forest,1753,87648,2.0000456370938298,0.40000912741876593
Annapolis Valley,LSTM Autoencoder,3151,87648,3.5950620664476087,0.7190124132895217
Annapolis Valley,Z-Score,720,87648,0.8214676889375685,0.16429353778751368
Cape Breton,IQR,1644,87648,1.875684556407448,0.37513691128148957
Cape Breton,Isolation Forest,1753,87648,2.0000456370938298,0.40000912741876593
Cape Breton,LSTM Autoencoder,2698,87648,3.0782219788243883,0.6156443957648777
Cape Breton,Z-Score,692,87648,0.789521723256663,0.1579043446513326
Halifax,IQR,1304,87648,1.4877692588535962,0.29755385177071925
Halifax,Isolation Forest,1753,87648,2.0000456370938298,0.40000912741876593
Halifax,LSTM Autoencoder,2981,87648,3.4011044176706826,0.6802208835341366
Halifax,Z-Score,687,87648,0.78381708652793,0.156763417305586
Pictou County,IQR,1378,87648,1.572197882438846,0.31443957648776927
Pictou County,Isolation Forest,1753,87648,2.0000456370938298,0.40000912741876593
Pictou County,LSTM Autoencoder,2934,87648,3.3474808324205916,0.6694961664841184
Pictou County,Z-Score,601,87648,0.6856973347937203,0.13713946695874404
South Shore,IQR,1177,87648,1.3428714859437751,0.26857429718875503
South Shore,Isolation Forest,1753,87648,2.0000456370938298,0.40000912741876593
South Shore,LSTM Autoencoder,3148,87648,3.591639284410369,0.7183278568820738
South Shore,Z-Score,673,87648,0.7678441036874771,0.15356882073749545
