,Feature,Importance
18,co2_kg,0.748699377197977
24,peak_demand_flag,0.12183294610374942
22,anomaly_flag,0.026404058360351815
23,anomaly_type,0.024621543719892253
26,consumption_kwh_lag_24h,0.02223511300843711
17,grid_load_pct,0.018655292131289417
25,consumption_kwh_lag_1h,0.012939256365430453
15,renewable_pct,0.009001615799348515
28,rolling_std_24h,0.007479433676324898
9,temperature_c,0.0016627458200675583
29,heating_degree_day,0.0015004826585300049
27,rolling_mean_168h,0.0011457695157827466
21,power_outage,0.0007792752652560118
1,hour,0.00035901721363113854
10,feels_like_c,0.0003448764634347665
0,region,0.0003347275279188326
16,price_per_kwh,0.00032367395744084044
2,day_of_week,0.00021764356136308384
4,year,0.00018951979500878873
14,cloud_cover_pct,0.00018632104863479065
11,humidity_pct,0.000178074039530153
12,wind_speed_kmh,0.00017437317381460124
6,is_weekend,0.00015046733905276814
5,week,0.0001483918773677298
13,precipitation_mm,0.00014133825273373186
19,customer_type,8.211332507607278e-05
20,demand_response,7.973064344075173e-05
3,month,5.478545434904513e-05
7,season,5.022082333618893e-05
8,is_holiday,2.7815881429598665e-05
